Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
VD6,7.7250,8.6000,Bottom,90,"TVS, 5.5V, 2A, , , SC-70-3, -55...+150°C",SC-70
R25,6.7000,6.3000,Bottom,0,"Resistor film, 470R, ±5%, 0402, 0.063W, -55...+125°C",RES:_0402
R24,8.7000,6.3000,Bottom,180,"Resistor film, 470R, ±5%, 0402, 0.063W, -55...+125°C",RES:_0402
L3,10.7000,6.3000,Bottom,180,"Fixed inductor, BEAD, ±25%, 0402, 900mA, -55...+125°C",IND:_0402
X4,7.7000,3.2750,Bottom,180,"Connector, 4pin, 1.25mm, 50VDC, 1A",CON:_SM04B-GHS
VT2,31.2675,23.6125,Bottom,90,"MOSFET Dula-channel transistor, 20V, 700mA, N-70pC, P-850pC, 1W, N-480mOhm, P-970mOhm, N-750pF, P-1000pF, SOT563, -55...+150°C",SOT563-6
R22,15.0000,8.1000,Bottom,90,"Resistor film, 10k, ±5%, 0402, 0.063W, -55...+125°C",RES:_0402
R21,33.1000,24.0000,Bottom,90,"Resistor film, 510k, ±5%, 0402, 0.063W, -55...+125°C",RES:_0402
R20,29.5000,24.0000,Bottom,90,"Resistor film, 510k, ±5%, 0402, 0.063W, -55...+125°C",RES:_0402
C19,13.2500,2.3000,Top,180,"Ceramic capacitor, 4.7uF, X7R, ±10%, 16V, 0402, -55...+125°C",CAP:_0402
TP1,30.5000,14.2000,Bottom,180,"Test point, Keystone, 5001",CON:_TEST_POINT_1_MM
X2,28.3000,4.3625,Bottom,0,"USB Type C, 5A",CON:_TYPE-C-SOFNG_MC-311S
D3,28.3750,10.0000,Bottom,90,"ESD protection, , 8kV, , -40...+125°C, SOT23-6L",SOT23-6
X1,18.0000,6.4250,Top,0,"Connector, 24pin, 0.5mm, FFC/FPC, 0.5A",CON:_FFC/FPC-24-0.5(Hirose)
VT1,31.2000,28.3750,Bottom,0,"MOSFET N-channel transistor, 60V, 380mA, , 300mW, 2.3Ohm, 34pF, SC-70, -55...+150°C",SC-70
